basin,nse,kge,topo_lv,routing_lv
3050460810,-0.19389608546410075,0.11432581680399401,11,7
3050495710,0.6706690995225927,0.6726021304572098,11,1
3050402820,-7.388488621675254,-0.12917019509288807,11,11
4050784170,NaN,NaN,11,3
6050150590,NaN,NaN,11,3
6050483010,0.7356296309312959,0.7045371423827373,11,1
6050483020,-339.1140375710621,-19.926347544852124,11,1
6050565980,0.05844022563137652,0.1366433898544248,11,1
6050565970,0.5747174568111427,0.5189193412542281,11,3
6050652910,0.78198368080885,0.7546690485834315,11,1
6050814830,NaN,NaN,11,15
7050538950,0.5200762121131652,0.675668541063541,11,1
7050538960,0.5804146575562765,0.5102692149512623,11,3
7050202930,0.4187750593164836,0.6727057180489124,11,1
7050203140,0.45430590610225896,0.7288728087277879,11,1
7050514640,0.2396011578040378,0.3429488693512147,11,1
7050514490,-3.318659783501838,-0.38497317691751043,11,3
7050531330,-0.24430360902488735,0.3132455729010165,11,3
7050531210,0.43946715145933757,0.49062425392016584,11,1
7050594340,0.7077414093329453,0.6091224893046361,11,2
7050594240,0.33753459097354954,0.40030778413099055,11,1
8050252610,NaN,NaN,11,11
8050252760,0.6334438915440033,0.48034509362338684,11,5
1051400740,-0.8786332125773193,0.21953936559489018,12,1
1051400750,-0.07532319959782874,-0.0640028143734912,12,1
1051125060,NaN,NaN,12,6
1050722720,-1.4759851867617506,0.05355591761697476,12,10
2050477000,0.6139930311315454,0.6332708325181091,12,2
2050476910,0.6888508834028351,0.7176610758861386,12,1
2050478420,0.4358872414781978,0.5846819888036148,12,1
3050481940,NaN,NaN,12,6
6050285930,-6.814702354088636,-0.6016650609999528,12,6
6050285990,NaN,NaN,12,5
6050622980,0.5288167336269458,0.6426101450418434,12,2
6050622990,0.6804485631872876,0.8271777819965872,12,1
6050793620,0.5389690625705288,0.5194558475422695,12,1
7050527230,0.7928554066973721,0.7776861766828975,12,1
7050419360,0.6541149075823738,0.40478875034076556,12,1
7050419260,-1.4102574963871715,-0.24401108691728668,12,2
7050511950,-0.44643588845456583,0.18059783462473022,12,2
7050512060,0.5092642448118061,0.6868289266269063,12,1
8050269450,NaN,NaN,12,1
8050270520,0.593067256679048,0.43392640977416774,12,4
8050270510,0.758486373975062,0.7242545772093733,12,1
1051473880,-0.03712400506132618,-0.03961020432097073,13,5
1050668760,0.28373816086843406,0.1027869509160193,13,1
2050465720,0.7834691009654033,0.8216672720143017,13,1
2050465610,0.718025262974944,0.81097330429082,13,1
3050496590,-0.11685146306561145,-0.3721892972895644,13,5
6050280410,-7.025372593498114,-0.32493340660676484,13,5
6050337190,-0.14248737850964677,0.13161964548402716,13,4
6050337320,0.9051982644315005,0.8848612434850937,13,1
